Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Petronas,Chrome 101.0.4951.64,,,2022-05-11 16:58:53,2022-05-11 16:59:10,17.312s,PASSED
,,,,,,,
Test Cases/Petronas,Chrome 101.0.4951.64,,,2022-05-11 16:58:54,2022-05-11 16:59:10,16.775s,PASSED
"openBrowser("""")",Chrome 101.0.4951.64,,,2022-05-11 16:58:54,2022-05-11 16:59:00,5.748s,PASSED
"navigateToUrl(""https://www.petronas.com/"")",Chrome 101.0.4951.64,,,2022-05-11 16:59:00,2022-05-11 16:59:06,6.198s,PASSED
"takeFullPageScreenshotAsCheckpoint(""petronas_short"")",Chrome 101.0.4951.64,,,2022-05-11 16:59:06,2022-05-11 16:59:10,4.454s,PASSED
