Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Petronas,Chrome 101.0.4951.64,,,2022-05-11 18:13:22,2022-05-11 18:13:56,33.870s,PASSED
,,,,,,,
Test Cases/Petronas,Chrome 101.0.4951.64,,,2022-05-11 18:13:23,2022-05-11 18:13:56,33.402s,PASSED
"openBrowser("""")",Chrome 101.0.4951.64,,,2022-05-11 18:13:23,2022-05-11 18:13:28,4.980s,PASSED
"navigateToUrl(""https://www.petronas.com/"")",Chrome 101.0.4951.64,,,2022-05-11 18:13:28,2022-05-11 18:13:41,13.082s,PASSED
"takeFullPageScreenshotAsCheckpoint(""petronas_short"")",Chrome 101.0.4951.64,,,2022-05-11 18:13:41,2022-05-11 18:13:56,14.945s,PASSED
