Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Petronas,Chrome 101.0.4951.64,,,2022-05-11 16:53:21,2022-05-11 16:53:46,25.021s,PASSED
,,,,,,,
Test Cases/Petronas,Chrome 101.0.4951.64,,,2022-05-11 16:53:21,2022-05-11 16:53:46,24.543s,PASSED
"openBrowser("""")",Chrome 101.0.4951.64,,,2022-05-11 16:53:22,2022-05-11 16:53:27,5.532s,PASSED
"navigateToUrl(""https://www.petronas.com/"")",Chrome 101.0.4951.64,,,2022-05-11 16:53:27,2022-05-11 16:53:33,5.962s,PASSED
"takeFullPageScreenshotAsCheckpoint(""petronas_short"")",Chrome 101.0.4951.64,,,2022-05-11 16:53:33,2022-05-11 16:53:46,12.682s,PASSED
