Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Petronas,Chrome 101.0.4951.64,,,2022-05-11 16:52:07,2022-05-11 16:52:37,29.439s,PASSED
,,,,,,,
Test Cases/Petronas,Chrome 101.0.4951.64,,,2022-05-11 16:52:08,2022-05-11 16:52:37,28.991s,PASSED
"openBrowser("""")",Chrome 101.0.4951.64,,,2022-05-11 16:52:08,2022-05-11 16:52:14,5.400s,PASSED
"navigateToUrl(""https://www.petronas.com/"")",Chrome 101.0.4951.64,,,2022-05-11 16:52:14,2022-05-11 16:52:25,11.254s,PASSED
"takeFullPageScreenshotAsCheckpoint(""petronas_short"")",Chrome 101.0.4951.64,,,2022-05-11 16:52:25,2022-05-11 16:52:37,11.978s,PASSED
