Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Aha,Chrome 101.0.4951.64,,,2022-05-16 11:50:13,2022-05-16 11:51:01,48.394s,PASSED
,,,,,,,
Test Cases/Aha,Chrome 101.0.4951.64,,,2022-05-16 11:50:14,2022-05-16 11:51:01,47.931s,PASSED
"openBrowser("""")",Chrome 101.0.4951.64,,,2022-05-16 11:50:14,2022-05-16 11:50:20,6.166s,PASSED
"navigateToUrl(""https://www.aha.io/"")",Chrome 101.0.4951.64,,,2022-05-16 11:50:20,2022-05-16 11:50:43,23.456s,PASSED
"takeFullPageScreenshotAsCheckpoint(""full_view"")",Chrome 101.0.4951.64,,,2022-05-16 11:50:43,2022-05-16 11:51:01,17.945s,PASSED
