Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CNN,Chrome 101.0.4951.64,,,2022-05-11 11:09:37,2022-05-11 11:10:26,48.845s,PASSED
,,,,,,,
Test Cases/CNN,Chrome 101.0.4951.64,,,2022-05-11 11:09:38,2022-05-11 11:10:26,48.439s,PASSED
"openBrowser("""")",Chrome 101.0.4951.64,,,2022-05-11 11:09:38,2022-05-11 11:09:42,4.153s,PASSED
"navigateToUrl(""https://www.cnn.com/"")",Chrome 101.0.4951.64,,,2022-05-11 11:09:42,2022-05-11 11:10:24,41.435s,PASSED
"takeScreenshotAsCheckpoint(""full_view"", CONTINUE_ON_FAILURE)",Chrome 101.0.4951.64,,,2022-05-11 11:10:24,2022-05-11 11:10:26,2.419s,PASSED
